,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3, Upazila,Labour,Labour,Labour
4, Upazila,Male,Female,Child (under 15 years old)
5,Bhaluka,250,210,0
6,Dhobaura,250,200,150
7,Fulbaria,300,230,150
8,Gafargaon,300,200,200
9,Gauripur,250,180,180
10,Haluaghat,350,300,250
11,Ishwargonj,300,250,150
12,Muktagacha,300,200,200
13,Mymensingh Sadar,250,0,150
14,Nandail,250,200,100
15,Phulpur,250,0,150
16,Trishal,300,250,200
17,Average,279,222,171
