,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3,Upazila,2010-11,2010-11,2009-10,2009-10
4,Upazila,Area,Production,Area,Production
5,Bhaluka,0,0,0,0
6,Dhobaura,21,71,23,77
7,Fulbaria,4,12,3,11
8,Gaffargaon,0,0,0,0
9,Gauripur,1,4,1,4
10,Haluaghat,33,101,31,91
11,Ishwargonj,22,88,25,95
12,Muktagacha,0,0,0,0
13,Mymensingh Sadar,18,53,17,44
14,Nandail,16,34,12,23
15,Phulpur,10,165,22,330
16,Trishal,38,126,43,108
17,Total,163,654,177,783
