,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat-bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator services 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Growth Centre,Hat /Bazar,Poultry Farm,Dairy Farm,Nursery,Horticulture Centre,Brick kiln,Decorator services
3,Bhola Sadar,6,51,429,224,23,3,15,18
4,Burhanuddin,4,34,15,0,0,0,7,12
5,Char Fasson,6,59,369,45,12,0,23,12
6,Daulatkhan,3,31,102,35,3,1,5,7
7,Lalmohan,5,36,219,51,8,0,3,15
8,Manpura,1,10,2,1,4,1,1,0
9,Tazumuddin,12,20,31,15,11,0,2,6
10,Total,37,241,1167,371,61,5,56,70
