,0,1,2,3
0,Length of railway and water way 2011,,,
1,(Kilometer),,,
2, Upazila,"Total railway (all broad gage, meter gage  duel gage)",Water way in monsoon (river + canal),Water way round the year (river + canal)
3,Adarsha Sadar,11,95,95
4,Barura,0.04,0,0
5,Brahmanpara,10,0,0.35
6,Burichang,7,420,0
7,Chandina,0,5,0
8,Chauddagram,5,0,0
9,Comilla Sadar Dakshin,22.23,0,0
10,Daudkandi,0,70,75
11,Debidwar,0,44,52
12,Homna,0,52,38
13,Laksam,29.57,0,24
14,Monoharganj,15,30,21
15,Meghna,0,0,0
16,Muradnagar,0,25,35
17,Nangalkot,19,9.88,7.88
18,Titas,0,125,106
19,Total,118.84,875.88,454.23
