,0,1,2,3
0,Number of selected agricultural machine 2008,,,
1,Comilla,,,
2,,,,
3,Upazila,Number of power tiller,Tractor,Number of threshing machine
4,Adarsha Sadar,145,65,1320
5,Barura,66,273,9610
6,Brahmanpara,140,60,12600
7,Burichang,86,51,680
8,Chandina,137,48,4449
9,Chauddagram,92,251,1716
10,Comilla Sadar Dakshin,130,255,22500
11,Daudkandi,60,89,1756
12,Debidwar,80,120,3030
13,Homna,140,145,1000
14,Laksam,125,2,1500
15,Monoharganj,111,60,3013
16,Meghna,120,2,250
17,Muradnagar,310,275,780
18,Nangalkot,295,45,1150
19,Titas,175,3,660
20,Total,2212,1744,66014
