,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,(Area in acre and production in metric ton),,,,
2,Upazila,2010-11 - Area,2010-11 - Production,2009-10 - Area,2009-10 - Production
3,Gazipur Sadar,14,53,28,119
4,Kaliakair,0,0,0,0
5,Kaliganj,28,140,33,168
6,Kapashia,4,4,4,5
7,Sreepur,7,12,7,12
8,Total,53,209,72,304
