,0,1,2
0,Numbers of money exchange agency 2011,,
1,,,
2,Upazila,Number of money exchange agency,Number of employee
3,Gazipur Sadar,51,51
4,Kaliakair,4,4
5,Kaliganj,0,0
6,Kapashia,0,0
7,Sreepur,0,0
8,Total,55,55
