,0,1,,,,,,,,
0,filename,note,upazila_unit,muslim_unit,hindu_unit,buddhist_unit,christian_unit,others_unit,total_unit,district_unit
1,all-districts_CHAPTER-2_Population-by-religion-2011.csv,"data missing for Munshiganj, Pabna",,count,count,count,count,count,count,
