,0,1,,,,,,,,
0,filename,note,upazila,mosque,eidgah,temple_mandir,church_girza,pagoda,others,district
1,all-districts_CHAPTER-2_Number-of-religious-institution-2011.csv,"data missing for Munshiganj. Missing columns for Brahmanbaria, Chuadanga, Tangail.",,count,count,count,count,count,count,
