,0,1,,,,,,,,,,,,,
0,filename,note,upazila_unit,population_1981_unit,population_1991_unit,population_2001_unit,population_2011_unit,literacy_rate_1981_unit,literacy_rate_1991_unit,literacy_rate_2001_unit,literacy_rate_2011_unit,voter_count_male_unit,voter_count_female_unit,voter_count_total_unit,district_unit
1,all-districts_CHAPTER-2_Population-and-literacy-rate-of-1981-1991-2001-&-2011-and-number-of-voter-2011.csv,"data missing for Munshiganj, the 'population_1981', 'literacy_rate_1981' and 'voter_count' is missing for some districts",,thousand,thousand,thousand,thousand,percent,percent,percent,percent,thousand,thousand,thousand,
