,0,1,2,3,4,5,6,7,8,9
0,upazila,filling_station,fire_brigade_station,police_station/camp,union_land_tohsil_office,sub_registry_office,bop_bgb_camp,isp_provider,cyber_cafe,district
1,Bagerhat Sadar,2,1,5,5,1,0,0,16,Bagerhat
2,Kachua,1,0,1,3,1,0,0,0,Bagerhat
3,Rampal,1,0,3,5,1,0,0,0,Bagerhat
4,Sharonkhola,0,1,3,4,1,0,0,0,Bagerhat
5,Chitolmari,1,1,3,4,1,0,0,0,Bagerhat
6,Morrelgonj,0,1,5,10,1,0,0,0,Bagerhat
7,Mongla,2,1,4,3,1,1,0,1,Bagerhat
8,Mollahat,3,0,3,3,1,0,0,0,Bagerhat
9,Fakirhat,9,0,7,2,1,0,0,0,Bagerhat
10,Total,19,5,34,39,9,1,0,17,Bagerhat
11,Alikadam,3,1,7,0,0,1,0,0,Bandarban
12,Bandarban Sadar,3,1,4,0,0,1,0,0,Bandarban
13,Lama,2,0,5,0,0,2,0,0,Bandarban
14,Naikhongchhari,1,0,1,0,0,0,0,0,Bandarban
15,Rowangchhari,0,0,1,0,0,0,0,0,Bandarban
16,Ruma,0,0,4,0,0,0,0,0,Bandarban
17,Thanchi,0,0,1,0,0,4,0,0,Bandarban
18,Total,9,2,23,0,0,8,0,0,Bandarban
19,Amtali,0,1,2,7,1,0,0,0,Barguna
20,Bamna,0,0,1,4,1,0,0,0,Barguna
21,Barguna Sadar,1,1,2,5,1,0,0,0,Barguna
22,Betagi,0,0,1,7,1,0,0,0,Barguna
23,Patharghata,2,1,2,4,1,0,0,0,Barguna
24,Total,3,3,8,27,5,0,0,0,Barguna
25,Agailjhara,0,0,1,3,1,0,0,0,Barisal
26,Babuganj,1,0,3,4,1,0,5,10,Barisal
27,Bakerganj,2,0,1,14,1,0,22,0,Barisal
28,Banaripara,0,1,3,8,1,0,0,0,Barisal
29,Barisal city corporation,10,2,7,0,0,0,3,13,Barisal
30,Barisal Sadar,0,0,1,10,1,0,0,0,Barisal
31,Gaurnadi,2,1,3,7,1,0,0,0,Barisal
32,Hizla,0,0,2,5,1,0,0,1,Barisal
33,Mehendiganj,0,1,2,7,1,0,0,2,Barisal
34,Muladi,0,0,3,7,1,0,0,0,Barisal
35,Wazirpur,0,1,5,4,1,0,0,0,Barisal
36,Total,15,6,31,69,10,0,30,26,Barisal
37,Bhola Sadar,3,1,3,10,1,0,10,6,Bhola
38,Burhanuddin,0,1,1,9,1,0,0,0,Bhola
39,Char Fasson,0,1,3,8,2,0,0,8,Bhola
40,Daulatkhan,0,1,2,7,1,0,2,2,Bhola
41,Lalmohan,1,1,2,7,1,0,0,6,Bhola
42,Manpura,0,0,1,3,1,0,0,3,Bhola
43,Tazumuddin,0,0,2,5,1,0,5,0,Bhola
44,Total,4,5,14,49,8,0,17,25,Bhola
45,Adamdighi,4,0,2,6,1,0,0,0,Bogura
46,Bogra sadar,23,1,7,9,1,0,5,7,Bogura
47,Dhunat,1,1,1,10,1,0,0,0,Bogura
48,Dhupchanchia,2,0,1,6,1,0,0,0,Bogura
49,Gabtali,1,0,2,8,1,0,3,0,Bogura
50,Kahaloo,0,0,1,9,1,0,0,0,Bogura
51,Nandigram,2,0,3,5,1,0,0,1,Bogura
52,Sariakandi,1,1,2,6,1,0,0,0,Bogura
53,Shajahanpur,13,0,2,9,0,0,0,0,Bogura
54,Sherpur,6,1,1,10,1,0,0,0,Bogura
55,Shibganj,4,0,2,11,1,0,0,0,Bogura
56,Sonatola,1,1,1,7,1,0,0,1,Bogura
57,Total,58,5,25,96,11,0,8,9,Bogura
58,Akhaura,0,1,2,5,1,5,0,0,BrahmanBaria
59,Ashuganj,2,1,3,4,1,0,7,0,BrahmanBaria
60,Banchrampur,0,1,1,10,1,0,13,0,BrahmanBaria
61,Bijoynogor,2,0,4,6,0,5,10,0,BrahmanBaria
62,Brahmanbaria Sadar,3,1,2,6,2,0,11,0,BrahmanBaria
63,Kasba,1,1,1,8,1,5,0,0,BrahmanBaria
64,Nabinagar,0,0,3,15,1,0,1,1,BrahmanBaria
65,Nasirnagar,0,0,2,13,1,0,13,0,BrahmanBaria
66,Sarail,5,0,3,8,1,1,0,0,BrahmanBaria
67,Total,13,5,21,75,9,16,55,1,BrahmanBaria
68,Chandpur Sadar,4,2,4,15,1,0,14,0,Chandpur
69,Foridganj,2,0,2,16,1,0,15,15,Chandpur
