,0,1,,,,,,,,,
0,filename,note,upazila_unit,pond_unit,dighee_unit,river_flow_unit,flood_camp/shelter_unit,cyclone_shelter_unit,stadium/playground_unit,park/amusement_park_unit,district_unit
1,all-districts_CHAPTER-2_Number-of-pond-dighee-flood-camps-shelter-cyclone-shelter-stadium-playground-park--amusement-park-2011.csv,"data missing for Munshiganj, Pabna. Some columns missing for Chuadanga, Jamalpur, Rangpur.",,count,count,count,count,count,count,count,
