,0,1,2,3,4,5
0,upazila,2008,2009,2010,2011,district
1,Bagerhat Sadar,No,No,No,No,Bagerhat
2,Kachua,No,No,No,No,Bagerhat
3,Rampal,No,No,No,No,Bagerhat
4,Sharonkhola,Yes,Yes,Yes,Yes,Bagerhat
5,Chitolmari,Yes,Yes,Yes,Yes,Bagerhat
6,Morrelgonj,No,Yes,No,No,Bagerhat
7,Mongla,Yes,No,No,No,Bagerhat
8,Mollahat,No,No,No,No,Bagerhat
9,Fakirhat,No,No,No,No,Bagerhat
10,Alikadam,Yes,Yes,Yes,Yes,Bandarban
11,Bandarban Sadar,No,No,No,No,Bandarban
12,Lama,No,No,No,No,Bandarban
13,Naikhongchhari,No,No,No,No,Bandarban
14,Rowangchhari,No,No,No,No,Bandarban
15,Ruma,No,No,No,No,Bandarban
16,Thanchi,No,No,No,No,Bandarban
17,Amtali,No,No,No,No,Barguna
18,Bamna,No,No,No,No,Barguna
19,Barguna Sadar,No,No,No,No,Barguna
20,Betagi,No,No,No,No,Barguna
21,Patharghata,No,No,No,No,Barguna
22,Agailjhara,No,No,No,No,Barisal
23,Babuganj,Yes,Yes,Yes,Yes,Barisal
24,Bakerganj,No,No,No,No,Barisal
25,Banaripara,Yes,Yes,Yes,Yes,Barisal
26,Barisal,Yes,Yes,Yes,Yes,Barisal
27,Barisal Sadar,Yes,Yes,Yes,Yes,Barisal
28,Gaurnadi,No,No,No,No,Barisal
29,Hizla,Yes,Yes,Yes,Yes,Barisal
30,Mehendiganj,No,No,No,No,Barisal
31,Muladi,Yes,Yes,Yes,Yes,Barisal
32,Wazirpur,No,No,No,No,Barisal
33,Bhola Sadar,Yes,Yes,Yes,Yes,Bhola
34,Burhanuddin,Yes,Yes,Yes,Yes,Bhola
35,Char Fasson,Yes,Yes,Yes,Yes,Bhola
36,Daulatkhan,Yes,Yes,Yes,Yes,Bhola
37,Lalmohan,Yes,Yes,Yes,Yes,Bhola
38,Manpura,Yes,Yes,Yes,Yes,Bhola
39,Tazumuddin,Yes,Yes,Yes,Yes,Bhola
40,Adamdighi,Yes,Yes,Yes,Yes,Bogura
41,Bogra sadar,No,No,No,No,Bogura
42,Dhunat,Yes,Yes,Yes,Yes,Bogura
43,Dhupchanchia,No,No,No,No,Bogura
44,Gabtali,Yes,Yes,Yes,Yes,Bogura
45,Kahaloo,No,No,No,No,Bogura
46,Nandigram,No,No,No,No,Bogura
47,Sariakandi,Yes,Yes,Yes,Yes,Bogura
48,Shajahanpur,No,No,No,No,Bogura
49,Sherpur,No,No,No,No,Bogura
50,Shibganj,No,No,No,No,Bogura
51,Sonatola,Yes,Yes,Yes,Yes,Bogura
52,Akhaura,No,No,No,No,BrahmanBaria
53,Ashuganj,No,No,No,No,BrahmanBaria
54,Banchrampur,No,No,No,No,BrahmanBaria
55,Bijoynogor,No,No,No,No,BrahmanBaria
56,Brahmanbaria Sadar,No,No,No,No,BrahmanBaria
57,Kasba,No,No,No,No,BrahmanBaria
58,Nabinagar,No,No,Yes,No,BrahmanBaria
59,Nasirnagar,No,No,No,No,BrahmanBaria
60,Sarail,No,No,No,No,BrahmanBaria
61,Chandpur Sadar,Yes,Yes,Yes,Yes,Chandpur
62,Foridganj,No,No,No,No,Chandpur
63,Haimchar,Yes,Yes,No,No,Chandpur
64,Hajiganj,No,No,No,No,Chandpur
65,Kachua,No,No,No,No,Chandpur
66,Matlab Dakshin,No,No,No,No,Chandpur
67,Matlab Uttar,No,No,No,No,Chandpur
68,Shahrasti,No,No,No,No,Chandpur
69,Bholahat,No,No,No,No,Chapai_Nawabganj
70,Chapai Nawabganj Sadar,No,No,No,No,Chapai_Nawabganj
71,Gomastapur,No,No,No,No,Chapai_Nawabganj
72,Nachole,No,No,No,No,Chapai_Nawabganj
73,Shibganj,Yes,Yes,Yes,No,Chapai_Nawabganj
74,Anowara,No,No,Yes,Yes,Chittagong
75,Bakalia,No,No,No,No,Chittagong
76,Boalkhali,Yes,Yes,Yes,Yes,Chittagong
77,Chandanaish,Yes,Yes,Yes,Yes,Chittagong
78,Chittagong City Corporation,No,No,No,No,Chittagong
79,Fatikchhari,No,No,No,No,Chittagong
80,Hathazari,No,No,No,No,Chittagong
81,Lohagara,No,No,No,No,Chittagong
82,Mirsharai,Yes,Yes,Yes,Yes,Chittagong
83,Patiya,No,No,No,No,Chittagong
84,Rangunia,Yes,Yes,Yes,Yes,Chittagong
85,Raozan,No,No,No,No,Chittagong
86,Sandwip,Yes,Yes,Yes,Yes,Chittagong
87,Satkania,Yes,Yes,Yes,Yes,Chittagong
88,Sitakunda,No,No,No,No,Chittagong
89,Alamdanga,No,No,No,No,Chuadanga
90,Chuadanga Sadar,No,No,No,No,Chuadanga
91,Damurhuda,No,No,No,No,Chuadanga
92,Jibonnagar,No,No,No,No,Chuadanga
93,Adarsha Sadar,No,No,No,No,Comilla
94,Barura,No,No,No,No,Comilla
95,Brahmanpara,No,No,No,No,Comilla
96,Burichang,No,No,No,No,Comilla
97,Chandina,No,No,No,No,Comilla
98,Chauddagram,No,No,No,No,Comilla
99,Comilla Sadar Dakshin,No,No,No,No,Comilla
100,Daudkandi,No,No,No,No,Comilla
101,Debidwar,No,No,No,No,Comilla
102,Homna,No,No,No,No,Comilla
103,Laksam,No,No,No,No,Comilla
104,Monoharganj,No,No,No,No,Comilla
105,Meghna,Yes,No,No,No,Comilla
106,Muradnagar,No,No,No,No,Comilla
107,Nangalkot,No,No,No,No,Comilla
108,Titas,No,No,No,No,Comilla
109,Chakaria,Yes,Yes,Yes,Yes,Coxs_Bazar
110,Cox's Bazar Sadar,No,No,No,No,Coxs_Bazar
111,Kutubdia,No,No,No,No,Coxs_Bazar
112,Moheshkhali,No,No,No,No,Coxs_Bazar
113,Pekua,No,No,No,No,Coxs_Bazar
114,Ramu,No,No,No,No,Coxs_Bazar
