,0,1,,,,,,,,,
0,filename,note,upazila_unit,household_unit,population_male_unit,population_female_unit,population_both_sex_unit,sex_ratio_m/f_unit,average_size_of_household_unit,population_density_unit,district_unit
1,all-districts_CHAPTER-2_Number-of-household-population-and-density-2011.csv,"data missing for Munshiganj, Kishoreganj",,count,thousand,thousand,thousand,,,count per square kilometer,
