,0,1,,,,,,,,,,
0,filename,note,upazila_unit,growth_centre_unit,hat/bazar_unit,poultry_farm_unit,dairy_farm_unit,nursery_unit,horticulture_centre_unit,brick_kiln_unit,decorator_service_unit,district_unit
1,"all-districts_CHAPTER-2_Number-of-growth-centre,-hat-,-bazar,-poultry-farm,-dairy-farm,-nursery,-horticulture-centre,-brick-kiln,-decorator-service-2011.csv","data missing for Munshiganj, Pabna",,count,count,count,count,count,count,count,count,
