,0,1,,,,,,,,,
0,filename,note,upazila_unit,municipality_unit,ward_psa_unit,mahalla_unit,union_unit,mauza_unit,village_unit,depopulated_mauza_unit,district_unit
1,all-districts_CHAPTER-2_Number-of-municipality-union-mauza-mahalla-and-village-2011.csv,data missing for Munshiganj,,count,count,count,count,count,count,count,
