,0,1,,,,,,,,
0,filename,note,upazila_unit,labour_mason_unit,labour_helper_jogaly_unit,labour_carpenter_unit,labour_colour_unit,labour_electric_unit,labour_plumber_unit,district_unit
1,all-districts_CHAPTER-9_Daily-average-wage-rate-of-construction-labour-2011.csv,"data missing for Munshiganj, Kishorganj",,taka,taka,taka,taka,taka,taka,
