,0,1,2,3,4
0,"Area and production of water melon, melon (Bangi) in following years",,,,
1,(Area in acre & production in metric ton),,,,
2,"

Upazila",Year,Year,Year,Year
3,"

Upazila",2010-11,2010-11,2009-10.,2009-10.
4,"

Upazila",Area,Production,Area,Production
5,Kushtia Sadar,88,417,76,345
6,Bheramara,57,329,50,288
7,Daulatpur,38,277,21,140
8,Khoksa,78,430,78,430
9,Kumarkhali,27,93,19,70
10,Mirpur,22,88,33,106
11,Total,310,1634,277,1379
