,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,,,,,,,,
2, Upazila,Agricultural personnel,Live- stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwife
3,Chakaria,57,53,0,20,87,11,29
4,Cox's Bazar Sadar,48,15,35,8,2,30,15
5,Kutubdia,15,5,4,3,7,32,10
6,Moheshkhali,36,50,10,40,20,50,15
7,Pekua,76,35,75,32,25,25,0
8,Ramu,30,6,0,5,9,70,13
9,Teknaf,40,70,65,42,12,45,24
10,Ukhia,16,12,2,1,5,35,16
11,Total,318,246,191,151,167,298,122
