,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000) - 1981,Population (000) - 1991,Population (000) - 2001,Population (000) - 2011,Literacy rate (%) - 1981,Literacy rate (%) - 1991,Literacy rate (%) - 2001,Literacy rate (%) - 2011,Number of voter (000) - Male,Number of voter (000) - Female,Number of voter (000) - Total
3,Chakaria,317,409,503,474,18.0,23.4,32.0,47.6,123,122,245
4,Cox's Bazar Sadar,186,254,348,459,26.0,28.3,39.7,49.2,138,67,205
5,Kutubdia,76,95,107,125,42.0,45,28.4,34.0,36,34,70
6,Moheshkhali,157,220,257,321,9.5,16.8,22.5,30.8,86,85,171
7,Pekua,0,0,0,172,0,0,0,35.3,0,0,0
8,Ramu,127,167,203,267,11.6,21.5,26.0,36.6,61,65,126
9,Teknaf,106,153,201,264,9.7,16.6,24.4,26.7,57,60,117
10,Ukhia,92,122,155,207,11.9,16.8,28.4,36.3,49,51,100
11,Total,1061,1420,1774,2289,18.4,21.9,30.2,39.3,550,484,1034
