,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
3,Abhaynagar,42,2117,4032,221,0,0,0,70,0
4,Bagherpara,21,222,7371,8327,0,0,0,67,0
5,Chaugachha,46,0,2746,1075,0,0,0,12,58
6,Jessore Sadar,139,178,11324,9186,0,0,0,136,165
7,Jhikargachha,32,401,3193,1258,1,0,0,115,0
8,Keshabpur,51,65,2510,1175,0,0,0,212,760
9,Manirampur,250,2600,25250,1100,0,0,0,300,175
10,Sharsha,0,221,7660,1480,0,0,0,52,0
11,Total,581,5804,64086,23822,1,0,0,964,1158
