,0,1,2
0,"Number of railway station, steamer, launch station and bus stand 2011",,
1,,,
2,Upazila,Steamer/launch station,Bus stand
3,Dighinala,0,1
4,Khagrachhari Sadar,0,1
5,Laxshmichhari,0,0
6,Mahalchhari,1,2
7,Manikchhari,0,1
8,Matiranga,0,1
9,Panchhari,0,1
10,Ramgarh,0,0
11,Total,1,7
