,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
3,Alikadam,24,2,0,0,0,0,0,0,0
4,Bandarban Sadar,0,0,60,0,0,0,0,0,0
5,Lama,1761,270,68,0,0,0,0,0,0
6,Naikhongchhari,356,105,54,0,0,0,0,0,8
7,Rowangchhari,0,0,0,0,0,0,0,0,0
8,Ruma,1300,600,17,0,0,0,0,0,0
9,Thanchi,200,50,20,0,0,0,0,0,0
10,Total,3641,1027,219,2,0,0,0,0,8
