,0,1,2,3,4
0,"Temperature, rainfall and humidity 2008-2011",,,,
1,Rangpur,,,,
2,,,,,
3,Year,Temperature (0C) Maximum,Temperature (0C) Minimum,Rainfall (milimeter),Humidity ()
4,2008,32.2,10.4,1907,41
5,2009,33.1,8.8,2217,69
6,2010,41.8,10.5,2102,60
7,2011,36.3,6.0,1932,59
