,0,1,2,3,4,5,6,7,8,9
0,Number of selected industry 2011,,,,,,,,,
1,"
Upazila",Textile mill,Garments factory,Rice mill,Match factory,Steel and engineering,"
Aluminium","
Jute mill",Sugar mill,"
Others"
2,Aditmari,0,0,25,0,0,0,0,0,0
3,Hatibandha,0,0,35,0,0,0,0,0,0
4,Kaligonj,0,0,40,0,0,0,0,0,0
5,Lalmonirhat Sadar,0,1,45,0,0,0,1,0,0
6,Patgram,0,0,45,0,0,0,0,0,1
7,Total,0,1,150,0,0,0,1,0,1
