,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000),Population (000),Population (000),Population (000),Literacy rate (%),Literacy rate (%),Literacy rate (%),Literacy rate (%),Number of voter (000),Number of voter (000),Number of voter (000)
3, Upazila,1981,1991,2001,2011,1981,1991,2001,2011,Male,Female,Total
4,Chhagalnaiya,137,154,171,187,29.7,44.0,63.0,63.4,51,58,109
5,Daganbhuiyan,160,205,225,254,27.0,40.7,55.5,58.8,70,79,150
6,Feni Sadar,273,346,404,513,32.5,43.2,53.0,62.8,138,142,280
7,Fulgazi,82,96,0,120,29.5,42.4,55.5,60.0,33,35,67
8,Parshuram,67,80,205,101,32.7,42.7,55.1,58.8,28,31,58
9,Sonagazi,180,215,235,263,23.6,32.2,48.0,51.6,71,83,154
10,Total,898,1097,1240,1437,29.1,40.9,54.3,59.6,391,427,818
