,0,1,2,3,4
0,Number of bamboo and cane industry and person engaged 2011,,,,
1,,,,,
2, Upazila, Unit,Person engaged - Family,Person engaged - Hired,Person engaged - Total
3,Bhaluka,137,412,0,412
4,Dhubaura,153,200,0,200
5,Fulbaria,197,788,394,1182
6,Gaffargaon,480,480,20,500
7,Gauripur,1518,2848,325,3173
8,Haluaghat,90,180,20,200
9,Ishwargonj,995,995,150,1145
10,Muktagacha,420,320,112,432
11,Mymensingh Sadar,186,372,60,432
12,Nandail,750,616,134,750
13,Phulpur,1107,400,220,620
14,Trishal,336,428,0,428
15,Total,6369,8039,1435,9474
