,0,1,2,3,4
0,Area and production at rubber in following years,,,,
1,,,,,
2,(Area in acre and production in metric ton) -  Upazila,(Area in acre and production in metric ton) - 2010-11 - Area,(Area in acre and production in metric ton) - 2010-11 - Production,(Area in acre and production in metric ton) - 2009-10 - Area,(Area in acre and production in metric ton) - 2009-10 - Production
3,Baghaichhari,715,111,715,128
4,Barkal,0,0,0,0
5,Belai Chhari,0,0,0,0
6,Jurai Chhari,15,0,0,0
7,Kaptai,50,0,50,0
8,Kawkhali,0,0,0,0
9,Langadu,0,0,0,0
10,Naniarchar,0,0,0,0
11,Rangamati Sadar,0,0,0,0
12,Rajasthali,0,0,0,0
13,Total,780,111,765,128
