,0,1,2,3,4,5
0,Sanction post of Government employee by category 2011,,,,,
1,Netrokona,,,,,
2,,,,,,
3,Upazila,Class-I,Class-II,Class-III,Class-IV,Number of employee
4,Atpara,38,23,284,100,445
5,Barhatta,35,23,300,98,451
6,Durgapur,55,38,509,174,776
7,Kalmakanda,30,22,673,110,835
8,Kendua,56,23,404,148,631
9,Khaliajuri,37,26,413,105,581
10,Madan,47,25,542,127,741
11,Mohanganj,48,19,622,106,795
12,Netrokona Sadar,158,162,2126,497,2943
13,Purbadhala,27,10,345,240,623
14,Total,531,371,6218,1705,8821
