,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3, Upazila,Labour,Labour,Labour
4, Upazila,Male,Female,Child (under 15 years old)
5,Atrai,200,170,130
6,Badalgachhi,200,190,110
7,Dhamoirhat,250,200,120
8,Manda,200,150,0
9,Mahadebpur,200,150,100
10,Naogaon sadar,230,200,130
11,Niamatpur,180,150,120
12,Patnitala,250,200,150
13,Porsha,150,120,100
14,Raninagar,240,125,50
15,Sapahar,200,180,120
16,Average,209,167,113
