,0,1,2,3
0,Number of deep tube-well scheme 2010-11,,,
1,,,,
2, Upazila,Number of deep tube-well,Number of deep tube-well,Area irrigated (In acre)
3, Upazila,Commissioned,Operated,Area irrigated (In acre)
4,Atrai,284,282,12535
5,Badalgachhi,289,29,25440
6,Dhamoirhat,352,352,26465
7,Manda,464,464,30547
8,Mahadebpur,572,571,69159
9,Naogaon sadar,114,137,16315
10,Niamatpur,604,604,85042
11,Patnitala,354,96,33877
12,Porsha,283,9,15198
13,Raninagar,324,45,20995
14,Sapahar,315,323,18500
15,Total,3955,2912,354073
