,0,1,2,3,4,5
0,"Number of ward, mahalla and household by municipality 2011",,,,,
1,,,,,,
2,Upazila,Name of municipality,Total ward,Total mahalla,Total holding,Total household
3,Abhaynagar,Noapara,9,21,11472,21267
4,Bagherpara,Bagherpara,9,12,1765,1923
5,Chaugachha,Chaugachha,9,11,3672,5144
6,Jessore Sadar,Jessore,9,75,41285,48214
7,Jhikargachha,Jhikargachha,9,15,5850,7890
8,Keshabpur,Keshabpur,9,14,5178,6330
9,Manirampur,Manirampur,9,14,5608,7017
10,Sharsha,Benapole,9,11,5342,8563
11,Total,-,72,173,80172,106348
