,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,"
Upazila",Population (000),Population (000),Population (000),Population (000),Literacy rate (%),Literacy rate (%),Literacy rate (%),Literacy rate (%),Number of voter (000),Number of voter (000),Number of voter (000)
2,"
Upazila",1981,1991,2001,2011,1981,1991,2001,2011,Male,Female,Total
3,Abhaynagar,182,205,232,262,29.9,38.8,53.6,59.8,80,82,162
4,Bagherpara,148,169,195,219,23.8,34.5,50.7,52.8,66,68,134
5,Chaugachha,145,182,211,231,21.4,25.5,43.9,53.7,71,73,144
6,Jessore Sadar,426,530,644,743,33.6,44.2,58.6,63.8,236,226,462
7,Jhikargachha,196,236,271,298,23.3,27.9,52.0,53.0,92,98,190
8,Keshabpur,176,200,226,254,25.2,27.5,47.2,55.2,81,82,163
9,Manirampur,287,326,382,417,40.3,29.1,50.8,53.7,131,135,266
10,Sharsha,199,259,310,341,30.1,25.5,42.7,49.8,103,105,208
11,Total,1759,2107,2471,2765,28.4,33.4,51.3,56.5,860,869,1729
