,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Pubali and Uttara bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Pubali bank,Pubali bank,Pubali bank,Pubali bank,Pubali bank,Uttara bank,Uttara bank,Uttara bank,Uttara bank,Uttara bank
3, Upazila,Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
4, Upazila,Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
5,Abhaynagar,1,872,306,163,41,1,753,480,151,33
6,Bagherpara,0,0,0,0,0,0,0,0,0,0
7,Chaugachha,0,0,0,0,0,0,0,0,0,0
8,Jessore Sadar,1,4245,1251,173,48,1,12000,4400,130,57
9,Jhikargachha,0,0,0,0,0,0,0,0,0,0
10,Keshabpur,0,0,0,0,0,0,0,0,0,0
11,Manirampur,0,0,0,0,0,0,0,0,0,0
12,Sharsha,2,0,100,13,3,0,0,0,0,0
13,Total,4,5117,1657,349,92,2,12753,4880,281,90
