,0,1,2,3,4
0,Area and production of turmeric and ginger 2009-10,,,,
1,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
2,Upazila,Turmeric,Turmeric,Ginger,Ginger
3,Upazila,Area,Production,Area,Production
4,Abhaynagar,49,147,18,65
5,Bagherpara,252,1292,9,22
6,Chaugachha,309,1638,4,14
7,Jessore Sadar,237,839,22,56
8,Jhikargachha,300,1860,14,36
9,Keshabpur,755,2411,13,28
10,Manirampur,443,1994,27,119
11,Sharsha,338,338,2,10
12,Total,2683,10519,109,350
