,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,"
Upazila",Agricultural personnel,"Live-
stock personnel",Plant protection,Fishery personnel,Sanitary personnel,"Family
planning personnel",Trained midwife
2,Begumganj,66,7,2,4,10,187,73
3,Chatkhil,26,9,0,4,4,55,81
4,Companiganj,26,8,0,5,7,79,51
5,Hatiya,25,5,0,2,0,64,19
6,Kabirhat,4,5,0,0,12,0,8
7,Noakhali Sadar,26,4,0,4,4,79,47
8,Senbagh,29,7,0,4,8,78,15
9,Sonaimuri,22,7,0,3,0,73,14
10,Subarnachar,96,8,9,28,11,92,24
11,Total,320,60,11,54,56,707,332
