,0,1,2,3
0,Length of railway and water way 2011,,,
1,Comilla,,,
2,(Kilometer),,,
3, Upazila,"Total railway (all broad gage, meter gage  duel gage)",Water way in monsoon (river + canal),Water way round the year (river + canal)
4,Adarsha Sadar,11,95,95
5,Barura,0.04,0,0
6,Brahmanpara,10,0,0.35
7,Burichang,7,420,0
8,Chandina,0,5,0
9,Chauddagram,5,0,0
10,Comilla Sadar Dakshin,22.23,0,0
11,Daudkandi,0,70,75
12,Debidwar,0,44,52
13,Homna,0,52,38
14,Laksam,29.57,0,24
15,Monoharganj,15,30,21
16,Meghna,0,0,0
17,Muradnagar,0,25,35
18,Nangalkot,19,9.88,7.88
19,Titas,0,125,106
20,Total,118.84,875.88,454.23
