,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,,,,
2,(Rate in taka) -  Upazila,(Rate in taka) - Labour - Male,(Rate in taka) - Labour - Female,(Rate in taka) - Labour - Child (under 15 years old)
3,Biral,160,120,70
4,Birampur,250,150,150
5,Birganj,160,120,70
6,Bochaganj,180,160,90
7,Chirirbandar,200,120,120
8,Dinajpur Sadar,158,136,75
9,Fulbari,200,150,100
10,Ghoraghat,250,160,150
11,Hakimpur,250,150,150
12,Kaharole,150,130,70
13,Khansama,200,130,100
14,Nawabganj,250,150,150
15,Parbatipur,180,120,55
16,Average,199,138,104
