,0,1,2,3,4,5,6,7,8,9
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,
1,,,,,,,,,,
2, Upazila,Population - 1991,Population - 2001,Population - 2011,Literacy rate (%) - 1991,Literacy rate (%) - 2001,Literacy rate (%) - 2011,Number of voter (000) - Male,Number of voter (000) - Female,Number of voter (000) - Total
3,Barlekha,201,234,258,34.6,42.7,52.4,63,70,133
4,Juri,-,-,149,-,-,52.3,40,40,80
5,Kamalganj,192,230,259,28.6,40.7,48.6,73,75,148
6,Kulaura,340,396,360,28.8,42.4,51.9,98,100,198
7,Moulvibazar Sadar,239,282,342,36.1,48.6,54.9,98,98,196
8,Rajnagar,174,193,233,27.2,36.2,48.6,64,67,131
9,Sreemangal,231,278,318,29.8,39.6,48.3,82,84,166
10,Total,1377,1612,1919,30.8,42.1,51.1,518,534,1052
