,0,1,2,3,4
0,Number of low lift pump scheme 2010-11,,,,
1,Upazila,Number of pumps fielded,Number of pumps fielded,Number of pumps fielded,Area irrigated (in acre)
2,Upazila,Electric,Diesel,Total,Area irrigated (in acre)
3,Alfadanga,172,1954,2126,13435
4,Bhanga,421,2188,2609,30981
5,Boalmari,22,5246,5268,26740
6,Charbhadrashon,55,972,1027,7125
7,Faridpur Sadar,546,5402,5948,15367
8,Madhukhali,45,1310,1355,15100
9,Nagarkanda,192,4928,5120,31673
10,Sadarpur,121,1526,1647,17314
11,Saltha,82,4550,4632,26043
12,Total,1656,28076,29732,183778
