,0,1,2,3,4,5,6,7,8,9,10
0,"Number of primary school (Class I-V), teacher and student by municipality 2011",,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Primary school - Govt,Primary school - Non- govt,Primary school - Total,Number of teacher - Govt,Number of teacher - Non- govt,Number of teacher - Total,Number of student - Govt,Number of student - Non- govt,Number of student - Total,Students per teacher
3,Dimla,0,0,0,0,0,0,0,0,0,0
4,Domar,7,2,9,35,8,43,1896,412,2308,54
5,Jaldhaka,9,10,19,64,40,104,2765,2250,5015,48
6,Kishorgonj,0,0,0,0,0,0,0,0,0,0
7,Nilphamary Sadar,8,2,10,53,8,61,2772,412,3184,52
8,Sayedpur,26,0,26,194,0,194,6766,0,6766,35
9,Total,50,14,64,346,56,402,14199,3074,17273,43
