,0,1,2,3,4,5,6,7
0,Number of existing family planning personnel 2011,,,,,,,
1,Upazila,TFPO,M.O,FPI,TFPA,FWV,FWA,"Midwife or
SBA"
2,Akkelpur,1,0,3,2,5,31,20
3,Joypurhat sadar,1,2,3,1,6,38,17
4,Kalai,1,0,9,2,6,24,7
5,Khetlal,0,0,3,3,4,21,0
6,Panchbibi,1,1,1,1,8,16,8
7,Total,4,3,19,9,29,130,52
