,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000),Population (000),Population (000),Population (000),Literacy rate (%),Literacy rate (%),Literacy rate (%),Literacy rate (%),Number of voter (000),Number of voter (000),Number of voter (000)
3, Upazila,1981,1991,2001,2011,1981,1991,2001,2011,Male,Female,Total
4,Akkelpur,103,126,129,138,34.1,34.0,54.3,56.9,45,47,92
5,Joypurhat sadar,200,225,257,289,27.4,33.1,52.3,65.4,94,94,188
6,Kalai,97,114,129,143,21.1,23.5,40.4,49.8,47,51,98
7,Khetlal,79,106,116,108,21.1,25.2,45.1,53.5,35,36,71
8,Panchbibi,159,193,216,236,24.5,30.6,51.6,54.6,76,79,155
9,Total,638,764,847,914,25.6,29.3,49.6,57.5,297,307,604
