,0,1,2,3,4,5
0,"Number of ward, mahalla and household by municipality 2011",,,,,
1,Upazila,Name of municipality,Total ward,Total mahalla,Total holding,Total household
2,Akkelpur,Akkelpur,9,15,6281,6281
3,Joypurhat sadar,Joypurhat,9,48,16843,16843
4,Kalai,Kalai,9,35,4411,4411
5,Khetlal,Khetlal,9,9,-,-
6,Panchbibi,Panchbibi,9,14,3150,3150
7,Total,,45,121,33045,33045
