,0,1,2,3,4,5,6
0,Area and production of potato by type 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila Upazila Dimla Domar Jaldhaka Kishorgonj Nilphamary Sadar Sayedpur Total -  Upazila,Potato Area 4315 7475 8700 12615 16700 2955 52760 - Potato - Area,Potato Production 34996 45578 30580 90518 130705 18543 350920 - Potato - Production,Sweet potato Area 84 275 45 48 75 27 554 - Sweet potato - Area,Sweet potato Production 233 406 130 202 225 115 1311 - Sweet potato - Production,Total potato Area 4399 7750 8745 12663 16775 2982 53314 - Total potato - Area,Total potato Production 35229 45984 30710 90720 130930 18658 352231 - Total potato - Production
3,Dimla,3635,22557,84,237,3718.6,22794
4,Domar,8745,52646,290,439,9035,53085
5,Jaldhaka,9500,34660,114,336,9614,34996
6,Kishorgonj,9950,11068,47,200,9997,11268
7,Nilphamary Sadar,16300,99435,75,210,16375,99645
8,Sayedpur,4440,27510,28,118,4468,27628
9,Total,52570,247876,638,1540,53208,249416
