,0,1,2,3
0,Length of railway and water way 2011,,,
1,Jhalakathi,,,
2,(Kilometer),,,
3, Upazila,"Total railway (all broad gage, meter gage  duel gage)",Water way in monsoon (river + canal),Water way round the year (river + canal)
4,Jhalakathi Sadar,0,26,21
5,Kanthalia,0,142,130
6,Nalchity,0,420,270
7,Rajpur,0,155,120
8,Total,0,743,541
