,0,1,2,3,4,5,6,7
0,"Number of municipality, union, mauza, mahalla and village 2011",,,,,,,
1,,,,,,,,
2,Upazila/city corporation,Municipality,Ward (PSA),Mahalla,Union,Mauza,Village,Depopulated Mauza
3,Bagha,2,18,50,6,98,78	25,
4,Baghmara,2,18,40,16,292,332	21,
5,Charghat,1,9,20,6,93,115	9,
6,Durgapur,1,9,19,7,114,107	16,
7,Godagari,2,18,44,9,389,396	73,
8,Mohanpur,1,9,17,6,167,138	30,
9,Paba,2,18,60,8,186,209	52,
10,Puthia,1,9,16,6,128,183	5,
11,Tanore,2,18,40,7,211,169	54,
12,Total,14,126,306,71,1678,1727	285,
