,0,1,2,3,4,5
0,"Number of non-registered rickshaw, van, easy-bike and and auto-rickshaw etc. 2011",,,,,
1,,,,,,
2,Upazila/city corporation,Rickshaw,Van,Easy-bike and auto-rickshaw,Tempo,Nochimon/ korimon/ bhotvoti
3,Bagha,5,2000,5,0,250
4,Baghmara,0,2693,42,0,162
5,Charghat,300,6781,50,10,350
6,Durgapur,1,12013,10,0,550
7,Godagari,5,50,0,0,0
8,Mohanpur,0,8435,23,0,520
9,Paba,260,350,105,0,965
10,Puthia,30,2025,10,12,890
11,Rajshahi city corporation,3089,2010,250,0,0
12,Tanore,0,220,35,25,255
13,Total,3690,36577,530,47,3942
