,0,1,2,3,4
0,Broad classification of area 2011,,,,
1,,,,,
2,,,,,(sq. km.)
3,Upazila/city corporation,Total area,Land area,Reserve forest,Riverine area
4,Agailjhara,155.47,155.47,0,0
5,Babuganj,164.87,164.58,0,0.29
6,Bakerganj,411.36,401.85,0,9.51
7,Banaripara,134.30,125.96,0,8.34
8,Barisal city corporation*,60.84,60.84,0,0
9,Barisal Sadar,263.56,248.02,0,15.54
10,Gaurnadi,150.54,134.48,0,16.06
11,Hizla,515.36,451.39,0,63.97
12,Mehendiganj,418.96,416.60,0,2.36
13,Muladi,260.85,225.42,0,35.43
14,Wazirpur,248.36,239.49,0,8.87
15,Total,2784.52,2624.15,0,160.37
