,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Upazila/city corporation,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
2,Upazila/city corporation,"Weaving/
handloom",Handy,"Husking
crafts mill","Goor
processing","Biri
factory","Salt
processing","Dry fish
processing",Pottery,Others
3,Agailjhara,142,868,73,0,1,0,0,12,0
4,Babuganj,38,38,53,0,0,0,0,4,3
5,Bakerganj,8,1398,83,1,0,0,0,580,0
6,Banaripara,0,0,125,35,0,0,0,17,104
7,Barisal city corporation,0,329,18,0,5,0,0,0,0
8,Barisal sadar,7,655,89,0,0,0,0,12,0
9,Gaurnadi,242,49,361,0,1,0,2,158,125
10,Hizla,0,0,55,0,0,0,0,3,22
11,Mehendiganj,0,6504,52,0,0,0,0,0,0
12,Muladi,0,0,42,15,0,0,0,5,10
13,Wazirpur,38,14,520,0,1,0,0,3,0
14,Total,475,9855,1471,51,8,0,2,794,264
