,0,1,2,3,4
0,"Name of land, river port, important or historical, tourist places, objects, important, famous crop or food production 2011",,,,
1,,,,,
2, Upazila, Name of land/river/sea port,Name of Important or historical/tourist place/object,Name of important /famous crop or food production,Distance between district head quarter  upazila by road (km)
3,Bhaluka,-,Crocodile Farm,Paddy,40
4,Dhobaura,-,-,Paddy,52
5,Fulbaria,-,"Orchid Garden, Enayetpur",Paddy,21
6,Gaffargaon,-,-,Paddy,45
7,Gauripur,-,"Jaminder bari, Bokai Nagar fort",Paddy,20
8,Haluaghat,Gobrakhura ; Koroituli land port,-,Paddy,54
9,Ishwargonj,-,-,Paddy,22
10,Muktagacha,-,Jamider bari,"Paddy, Muktagachar Monda",18
11,Mymensingh Sadar,-,"Soshi lodge, BAU",Paddy,2
12,Nandail,-,-,Paddy,47
13,Phulpur,-,-,Paddy,32
14,Trishal,-,"Darirampur,kobi kazi Nazrul Islam University",Paddy,24
