,0,1,2,3,4
0,Area and production of cauliflower and cucumber 2010-11,,,,
1,(Area in acre and production in metric ton),,,,
2,Upazila,Cauliflower Area,Cauliflower Production,Cucumber Area,Cucumber Production
3,Bhaluka,95,243,154,185
4,Dhobaura,84,227,61,83
5,Fulbaria,32,102,16,61
6,Gaffargaon,208,874,109,354
7,Gauripur,53,149,36,0
8,Haluaghat,164,845,25,38
9,Ishwargonj,71,186,123,394
10,Muktagacha,80,960,15,135
11,Mymensingh Sadar,97,381,49,83
12,Nandail,77,178,36,100
13,Phulpur,92,354,211,667
14,Trishal,159,499,103,118
15,Total,1212,4999,938,2218
