,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3, Upazila,2010-11,2010-11,2009-10,2009-10
4, Upazila,Area,Production,Area,Production
5,Belabo,8,48,7,46
6,Manohardi,0,0,0,0
7,Narsingdi Sadar,19,188,19,194
8,Palash,0,0,0,0
9,Roypura,38,207,37,193
10,Sibpur,0,0,5,3
11,Total,65,443,68,436
