,0,1,2,3,4,5,6,7,8,9,10
0,"Number of primary school (Class I-V), teacher and student by municipality 2011",,,,,,,,,,
1,Jamalpur,,,,,,,,,,
2,,,,,,,,,,,
3, Upazila,Primary school - Govt.,Primary school - Non- govt.,Primary school - Total,Number of teacher - Govt.,Number of teacher - Non- govt.,Number of teacher - Total,Number of student - Govt.,Number of student - Non- govt.,Number of student - Total,Students per teacher
4,Bakshiganj,0,0,0,0,0,0,0,0,0,0
5,Dewanganj,9,1,10,65,4,69,2623,156,2779,40
6,Islampur,7,8,15,48,31,79,4379,2556,6935,88
7,Jamalpur Sadar,32,7,39,197,24,221,10351,1876,12227,55
8,Madarganj,9,12,21,45,48,93,1750,2280,4030,43
9,Melandaha,6,2,8,48,6,54,3147,594,3741,69
10,Sarishabari,13,4,17,84,16,100,3612,832,4444,44
11,Total,76,34,110,487,129,616,25862,8294,34156,55
