,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Barisal,,,,,,,,,
2,,,,,,,,,,
3,Upazila/city corporation,Small scale and cottage industry Weaving/ handloom,Small scale and cottage industry Handy,Small scale and cottage industry Husking crafts mill,Small scale and cottage industry Goor processing,Small scale and cottage industry Biri factory,Small scale and cottage industry Salt processing,Small scale and cottage industry Dry fish processing,Small scale and cottage industry Pottery,Small scale and cottage industry Others
4,Agailjhara,142,868,73,0,1,0,0,12,0
5,Babuganj,38,38,53,0,0,0,0,4,3
6,Bakerganj,8,1398,83,1,0,0,0,580,0
7,Banaripara,0,0,125,35,0,0,0,17,104
8,Barisal city corporation,0,329,18,0,5,0,0,0,0
9,Barisal Sadar,7,655,89,0,0,0,0,12,0
10,Gaurnadi,242,49,361,0,1,0,2,158,125
11,Hizla,0,0,55,0,0,0,0,3,22
12,Mehendiganj,0,6504,52,0,0,0,0,0,0
13,Muladi,0,0,42,15,0,0,0,5,10
14,Wazirpur,38,14,520,0,1,0,0,3,0
15,Total,475,9855,1471,51,8,0,2,794,264
