,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium, playground, park, amusement park 2011",,,,,,,
1,,,,,,,,
2,Upazila/city corporation,Pond,Dighee,Rivers flow,Flood camp/ shelter,Cyclone shelter,Stadium/ play ground,Park/ amusement park
3,Agailjhara,6232,2,1,0,14,63,1
4,Babuganj,7652,1,3,18,18,37,0
5,Bakerganj,11615,0,5,1,116,78,0
6,Banaripara,6093,0,3,1,19,113,0
7,Barisal city corporation,1005,8,2,0,0,16,3
8,Barisal sadar,8774,23,5,0,5,42,3
9,Gaurnadi,6680,0,1,7,8,52,1
10,Hizla,1560,0,1,2,5,121,0
11,Mehendiganj,7068,0,7,0,30,145,0
12,Muladi,4150,0,4,0,21,192,0
13,Wazirpur,7857,0,1,0,22,75,0
14,Total,68686,34,33,29,258,934,8
