,0,1,2,3,4
0,Occurrence of river erosion in the following year 2008 -2011,,,,
1,Barisal,,,,
2,,,,,
3,Upazila/city corporation,2008,2009,2010,2011
4,Agailjhara,No,No,No,No
5,Babuganj,Yes,Yes,Yes,Yes
6,Bakerganj,No,No,No,No
7,Banaripara,Yes,Yes,Yes,Yes
8,Barisal,Yes,Yes,Yes,Yes
9,Barisal Sadar,Yes,Yes,Yes,Yes
10,Gaurnadi,No,No,No,No
11,Hizla,Yes,Yes,Yes,Yes
12,Mehendiganj,No,No,No,No
13,Muladi,Yes,Yes,Yes,Yes
14,Wazirpur,No,No,No,No
