,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001  2011 and number of voter, 2011",,,,,,,,,,,
1,Barisal,,,,,,,,,,,
2,,,,,,,,,,,,
3,Upazila/city corporation,Population(000) 1981,Population(000) 1991,Population(000) 2001,Population(000) 2011,Literacy rate() 1981,Literacy rate() 1991,Literacy rate() 2001,Literacy rate() 2011,Number of voter (000) Male,Number of voter (000) Female,Number of voter (000) Total
4,Agailjhara,133,147,155,149,34,47,59.3,62.9,43,44,87
5,Babuganj,131,136,146,140,41.4,47.4,61.1,68.8,43,47,90
6,Bakerganj,312,337,354,314,40.9,47.1,59.3,63.3,93,100,193
7,Banaripara,125,144,153,148,33.1,46.1,60.7,67.2,46,47,93
8,Barisal city corporation,341,414,463,328,57.8,69.6,69.6,69.3,156,156,312
9,Barisal Sadar,172,202,261,199,57.8,65,64.8,69.3,91,87,178
10,Gaurnadi,141,172,180,189,28.4,41.2,59.4,60.9,60,63,123
11,Hizla,155,166,174,146,26.8,27.7,38.2,40.8,40,38,78
12,Mehendiganj,241,292,304,301,21.4,30.7,46.5,48.6,79,83,162
13,Muladi,146,171,683,175,28.2,31.4,49.0,56.0,52,56,108
14,Wazirpur,210,227,241,235,40,47.7,61.0,62.5,71,76,147
15,Total,2108,2408,3115,2324,-,43.0,57.0,61.2,774,797,1571
