,0,1,2,3,4,5
0,"Name of land, river port, important or historical, tourist places, objects, important, famous crop or food production 2011",,,,,
1,Dinajpur,,,,,
2,,,,,,
3,  Upazila, Name of land/river/sea port, Name of Important or historical/tourist place/object,Name of important /famous crop or food production,Customer care service providers name of cell phone operator,Distance between district head quarter  upazila by road (km)
4,Biral,-,Coribil,Paddy,-,10
5,Birampur,-,Banga Dighee,Paddy,Grameen,56
6,Birganj,-,Singra Forast,0,Grameen,28
7,Bochaganj,-,-,Paddy,Grameen,30
8,Chirirbandar,-,-,Paddy,-,18
9,Dinajpur Sadar,-,Ram Sagor,Paddy,Robi,0
10,Fulbari,Fulbari Ral Station,-,Paddy,Grameen,40
11,Ghoraghat,-,Shoza Moxque,Paddy,Grameen,96
12,Hakimpur,Hele school,-,Paddy,Grameen,72
13,Kaharole,-,Cantageo Mondir,Paddy,Grameen,23
14,Khansama,Atri,Attacora Moxque,Paddy,-,52
15,Nawabganj,-,Sapnapori,Peddy,Grameen,66
16,Parbatipur,Sota jomona,Koyla Khoney,Paddy,Grameen,35
