,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2,Upazila,Sonali bank Number of branch Number of branch,Sonali bank Account S.D,Sonali bank Account C.D,Sonali bank Account F.D,Sonali bank Account S.T.D,Janata bank Number of branch Number of branch,Janata bank Account S.D,Janata bank Account C.D,Janata bank Account F.D,Janata bank Account S.T.D
3,Akhaura,1,10724,925,151,80,2,2560,1810,230,450
4,Ashuganj,2,2717,639,118,30,2,4895,642,110,15
5,Banchharampur,2,13878,335,235,33,3,10195,1215,190,15
6,Bijoynagar,2,6500,105,72,3,0,0,0,0,0
7,Brahmanbaria Sadar,6,3450,2847,625,71,3,13429,9272,2640,202
8,Kasba,2,17050,450,262,31,3,34202,1803,1032,45
9,Nabinagar,3,0,1092,0,52,4,0,1010,278,15
10,Nasirnagar,3,25000,1000,1500,800,0,0,0,0,0
11,Sarail,1,1270,447,56,22,3,14710,182,118,23
12,Total,22,80589,7840,3019,1122,20,79991,15934,4598,765
