,0,1,2,3,4,5,6,7
0,Irrigation by means 2010-2011,,,,,,,
1,(In acre),,,,,,,
2, Upazila,Irrigation management,Irrigation management,Irrigation management,Irrigation management,Irrigation management,Irrigation management, Total
3, Upazila,Power pump,Tube well,Doon,Swing basket,Canal,Others, Total
4,Baliakandi,880,0,0,0,0,0,880
5,Goalanda,80,0,0,0,0,0,80
6,Kalukhali,7300,100,100,100,0,30,7630
7,Pangsha,12200,100,150,150,0,40,12640
8,Rajbari Sadar,172,0,0,0,0,0,172
9,Total,20632,200,250,250,0,70,21402
