,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3,Upazila,2010-11,2010-11,2009-10,2009-10
4,Upazila,Area,Production,Area,Production
5,Gazipur Sadar,14,53,28,119
6,Kaliakair,0,0,0,0
7,Kaliganj,28,140,33,168
8,Kapashia,4,4,4,5
9,Sreepur,7,12,7,12
10,Total,53,209,72,304
