,0,1,2,3,4,5
0,Employment status in handloom industry 2011,,,,,
1,,,,,,
2, Upazila,Number of handloom,Person engaged,Person engaged,Person engaged, Total
3, Upazila,Number of handloom,Family member,Regular,Hired /Casual, Total
4,Abhaynagar,42,63,0,0,63
5,Bagherpara,21,32,0,0,32
6,Chaugachha,46,46,0,0,46
7,Jessore Sadar,139,72,0,22,94
8,Jhikargachha,32,25,32,48,105
9,Keshabpur,72,150,51,30,231
10,Manirampur,250,250,250,180,430
11,Sharsha,0,0,0,0,0
12,Total,602,638,333,280,1001
