,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001  2011 and number of voter 2011",,,,,,,,,,,
1,Sherpur,,,,,,,,,,,
2,,,,,,,,,,,,
3,Upazila,Population - 1981,Population - 1991,Population - 2001,Population - 2011,Literacy rate () - 1981,Literacy rate () - 1991,Literacy rate () - 2001,Literacy rate () - 2011,Number of voter - Male,Number of voter - Female,Number of voter - Total
4,Jhenaigati,113410,139732,155067,160452,12.3,17.9,33.4,38.7,49751,52566,102317
5,Nakla,135065,162952,179422,189685,18.6,22.4,38.5,43.0,61068,62930,123998
6,Nalitabari,169345,226332,252935,251361,16.3,19.5,34.3,39.0,78325,80850,159175
7,Sherpur Sadar,306396,381419,449798,497179,21.1,19.4,30.3,36.7,119388,121920,241308
8,Sreebardi,234000,228194,242320,259648,14.6,18.5,26.4,34.8,80580,84010,164590
9,Total,958216,1138629,1279542,1358325,17.3,19.5,31.9,37.9,389112,402276,791388
